//Cycle : #inst 0  pc opcode reg regnum value
  877 :   #412 0 0000002c 00000000010100011000000000100011 r4=00010065
  878 :   #413 0 00000030 00000000000000000000001000000101 r23=0000002d
  879 :   #414 0 00000032 11111110000000101001101111100011 
  880 :   #415 0 00000028 00000000000000100000001010000011 
  885 :   #416 0 0000002c 00000000010100011000000000100011 r4=00010066
  886 :   #417 0 00000030 00000000000000000000001000000101 r23=0000002d
  887 :   #418 0 00000032 11111110000000101001101111100011 
  888 :   #419 0 00000028 00000000000000100000001010000011 
  893 :   #420 0 0000002c 00000000010100011000000000100011 r4=00010067
  894 :   #421 0 00000030 00000000000000000000001000000101 r23=0000002d
  895 :   #422 0 00000032 11111110000000101001101111100011 
  896 :   #423 0 00000028 00000000000000100000001010000011 
  901 :   #424 0 0000002c 00000000010100011000000000100011 r4=00010068
  902 :   #425 0 00000030 00000000000000000000001000000101 r23=0000002d
  903 :   #426 0 00000032 11111110000000101001101111100011 
  904 :   #427 0 00000028 00000000000000100000001010000011 
  909 :   #428 0 0000002c 00000000010100011000000000100011 r4=00010069
  910 :   #429 0 00000030 00000000000000000000001000000101 r23=0000000a
  911 :   #430 0 00000032 11111110000000101001101111100011 
  912 :   #431 0 00000028 00000000000000100000001010000011 
  917 :   #432 0 0000002c 00000000010100011000000000100011 r4=0001006a
  918 :   #433 0 00000030 00000000000000000000001000000101 
  919 :   #434 0 00000032 11111110000000101001101111100011 
  921 :   #435 0 00000036 11010000010110000000000110110111 r5=000000ff
  922 :   #436 0 0000003a 00001111111100000000001010010011 
  927 :   #437 0 0000003e 00000000010100011000000000100011 
